Market Class,Parameters ,GY,GY2,DM,PH,LD
BB,LRTG,12.0***,25.1***,30.2***,6.15*,12.3***
BB,LRTGE,216***,3.95*,9.7**,0.4ns,1.33ns
BB,E-MS,1373806***,1637595***,152***,23.6**,3.57***
BB,E/B-MS,1775719***,740206***,12.2***,16.9***,0.7**
BB,BA,3004.17,2835,89.9,16.9,1.32
BB,HU,3461.59,NA,NA,NA,NA
BB,SA,3321.17,3362,91,18.4,1.96
BB,TU,3233.21,3402,94.4,19.1,1.91
BB,Mean,3255.05+-19.84,3199.25+-30.37,91.77+-0.19,18.14+-0.15,1.73+-0.04
NB,LRTG,17.2***,17.9***,25.4***,12.1***,36***
NB,LRTGE,83.4***,7.79**,7.23**,6.15*,4.5*
NB,E-MS,1944731***,1493686***,120***,41.2***,2.37***
NB,E/B-MS,1735124***,320888**,12.7***,7.38*,0.92***
NB,BA,2654.03,2732,90.6,17,1.46
NB,HU,3094,NA,NA,NA,NA
NB,SA,2978.02,3094,89.6,18.5,2.2
NB,TU,2970.59,3195,93.6,19.6,1.97
NB,Mean,2924+-17.22,3009.36+-26.04,91.28+-0.16,18.37+-0.15,1.87+-0.04
SR,LRTG,3.33*,0,2.29ns,8.13**,11.3***
SR,LRTGE,46.3***,11.22***,2.58ns,3.83ns,0.76ns
SR,E-MS,1299967***,1722395***,87.2***,13*,1.24*
SR,E/B-MS,353243**,242390ns,7.61*,6.78ns,1.49***
SR,BA,2732.2,2584,89.2,17.5,1.37
SR,HU,3267.9,NA,NA,NA,NA
SR,SA,3223.4,3335,89.9,17.6,2.01
SR,TU,3367.3,3546,93.5,19.6,2.24
SR,Mean,3147.37+-32.29,3157.34+-53.6,90.86+-0.25,18.23+-0.24,1.87+-0.07
